,having_IP_Address,URL_Length,having_At_Symbol,double_slash_redirecting,Prefix_Suffix,having_Sub_Domain,SSLfinal_State,Domain_registeration_length,Favicon,HTTPS_token,Request_URL,URL_of_Anchor,Links_in_tags,SFH,Submitting_to_email,Redirect,on_mouseover,RightClick,popUpWidnow,Iframe,DNSRecord,Result
18,1,2,1,1,0,0,2,1,1,0,0,1,0,0,0,0,1,1,1,1,0,1
19,1,2,1,1,0,0,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1
20,1,1,1,1,0,1,2,0,1,1,1,1,1,0,0,0,0,1,0,1,1,1
21,1,1,1,1,0,1,2,1,1,0,0,1,0,0,0,0,1,1,1,1,1,1
22,1,2,1,1,0,0,0,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1
23,1,2,1,1,0,2,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1
24,1,0,0,1,0,2,2,0,1,0,0,1,1,0,1,0,1,1,1,1,1,1
25,1,0,1,1,0,1,2,0,1,1,1,2,1,0,1,0,1,1,1,1,1,1
26,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0
27,1,0,1,1,1,0,2,1,1,1,0,2,1,0,0,0,1,1,1,1,0,1
28,1,0,1,0,1,0,2,0,1,1,1,2,1,0,1,1,1,1,1,1,0,1
29,1,0,1,1,0,0,2,0,1,1,1,2,1,0,1,0,1,1,1,1,1,1
30,1,0,1,1,0,0,2,0,1,0,1,1,2,0,1,0,1,1,1,1,0,1
31,1,0,1,1,0,0,2,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1
32,1,0,1,1,1,2,2,0,1,1,1,2,2,2,0,0,1,1,1,1,1,1
33,1,1,1,1,0,0,2,0,1,1,1,1,2,0,0,0,1,1,1,1,1,1
34,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0
35,1,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,1,1,0,0
36,1,1,1,1,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
37,1,1,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0
38,1,2,1,1,1,0,2,0,1,1,1,2,0,2,0,0,1,1,1,1,0,1
39,1,0,1,1,0,1,0,0,1,0,0,2,1,0,1,0,1,1,1,1,0,1
40,1,0,1,1,1,2,2,0,1,0,1,2,1,0,1,0,1,1,1,1,0,1
41,0,0,1,0,0,2,2,0,1,0,1,1,0,0,1,1,1,1,1,1,0,1
42,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0
43,1,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0
44,1,0,0,1,0,1,0,0,1,1,1,0,2,0,0,0,1,1,1,1,1,0
45,1,2,1,1,0,1,2,0,0,1,1,1,0,2,1,0,0,1,0,1,1,1
46,0,2,1,0,1,0,2,0,1,0,1,1,1,2,0,0,1,1,1,1,1,1
47,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,0,0
48,1,0,1,1,0,0,2,0,1,1,1,0,0,0,1,0,1,1,1,1,0,0
49,1,0,1,1,0,2,2,0,1,1,1,1,2,0,0,0,1,1,1,1,1,1
50,1,0,1,1,0,2,2,0,1,0,1,1,0,0,1,0,1,1,1,1,1,0
51,1,2,1,1,0,2,2,0,0,1,1,1,1,2,1,0,0,1,0,0,0,1
52,0,0,1,0,1,0,2,0,1,0,1,2,2,0,0,0,1,1,1,1,0,1
53,1,0,1,1,0,2,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,0
54,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0
55,1,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0
56,0,0,1,0,1,2,2,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1
57,1,0,1,1,0,2,2,0,0,1,1,1,2,0,0,0,0,1,0,1,1,1
58,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0
59,0,0,1,0,0,1,1,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0
60,1,0,1,1,0,2,0,1,1,1,1,1,0,0,1,0,1,1,1,1,0,0
61,1,0,1,1,0,2,0,0,1,0,0,1,0,0,1,0,1,1,1,1,0,0
62,1,2,1,1,1,1,2,0,1,1,1,1,1,2,0,0,1,1,1,1,1,1
63,1,0,1,1,0,0,2,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0
64,1,2,1,0,1,2,2,0,0,1,1,2,2,2,1,1,0,1,0,1,0,1
65,1,0,1,1,0,1,2,1,1,1,0,2,1,0,0,0,1,1,1,1,1,1
66,1,2,1,0,0,0,0,0,0,1,1,0,0,2,0,1,0,1,0,1,0,0
67,1,0,1,0,0,1,0,1,1,1,0,1,1,0,1,0,1,1,1,1,0,0
68,1,0,1,1,1,0,2,0,1,0,0,2,0,0,0,0,1,1,1,1,1,1
69,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,1,1,0,0
70,1,0,1,1,0,2,2,0,1,1,1,2,1,0,0,0,1,1,1,1,1,1
71,0,0,1,0,0,2,2,0,1,0,1,1,0,0,0,0,1,1,1,1,1,1
72,1,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,0
73,1,0,1,0,1,0,2,0,1,1,1,2,1,0,1,0,1,1,1,1,1,1
74,1,0,1,0,0,1,1,0,1,0,0,0,2,0,1,0,1,1,1,1,1,0
75,1,0,1,0,0,2,0,1,1,0,0,1,0,0,1,1,1,1,1,1,0,0
76,1,0,1,0,1,1,2,1,0,0,0,1,2,0,0,1,0,1,0,1,1,1
77,1,0,1,0,1,2,2,0,0,1,1,2,0,0,0,1,0,1,0,1,0,1
78,1,0,1,1,0,0,0,0,1,1,1,0,1,0,1,0,1,1,1,1,0,0
79,0,0,1,0,0,0,2,0,1,0,1,2,1,0,0,1,1,1,1,1,0,1
80,1,0,1,0,0,1,0,1,1,1,0,0,1,0,1,0,1,1,1,1,0,0
81,1,2,1,1,0,1,2,0,1,1,1,1,2,2,1,0,1,1,1,1,0,1
82,1,0,1,1,1,0,2,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1
83,1,2,0,1,0,2,2,0,1,0,1,1,2,2,1,0,1,1,1,1,0,1
84,1,2,1,1,0,2,2,0,0,0,1,1,1,2,1,0,0,1,0,1,1,1
85,0,0,1,1,0,1,1,0,1,0,0,0,2,0,0,0,1,1,1,1,0,0
86,1,0,1,0,0,2,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0
87,1,2,1,0,0,0,2,0,0,0,1,1,2,2,1,0,0,1,0,1,1,1
88,1,0,1,1,1,2,2,0,1,1,1,2,2,0,1,0,1,1,1,1,1,1
89,0,2,1,0,0,1,1,0,1,0,1,0,1,2,1,0,1,1,1,1,0,0
90,1,0,1,1,0,2,0,0,1,0,1,1,2,0,1,0,1,1,1,1,1,0
91,0,0,1,0,1,2,2,1,1,0,0,2,1,0,0,0,1,1,1,1,1,1
92,1,0,1,1,0,2,2,0,1,0,0,2,1,0,0,0,1,1,1,1,1,1
93,1,0,1,1,0,0,0,0,1,1,1,0,1,0,1,0,1,1,1,1,1,0
94,1,0,1,1,0,2,2,0,1,1,1,1,2,0,1,0,1,1,1,1,1,1
95,1,0,1,1,0,0,0,1,1,1,0,0,1,0,1,0,1,1,1,1,1,0
96,1,0,1,1,0,2,2,0,1,1,1,1,2,0,1,0,1,1,1,1,0,0
97,1,2,1,1,0,0,0,0,1,0,1,0,0,2,1,0,1,1,1,1,0,0
98,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,1,0,0
99,1,0,1,1,0,2,2,0,1,0,1,1,2,0,1,0,1,1,1,1,1,1
100,1,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,1,0,0
101,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0
102,1,0,1,1,0,1,2,1,1,1,0,1,0,0,1,0,1,1,1,1,0,1
103,1,0,1,1,0,0,0,1,1,1,0,0,1,0,1,0,1,1,1,1,0,0
104,1,0,1,1,0,0,2,0,1,1,1,1,2,0,0,0,1,1,1,1,1,1
105,1,0,1,1,0,0,0,0,1,1,0,1,1,0,1,0,1,1,1,1,1,0
106,1,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0
107,1,0,1,1,0,2,0,0,1,1,0,0,1,0,0,0,1,1,1,1,1,0
108,1,0,1,1,0,1,2,0,1,1,1,1,2,0,0,0,1,1,1,1,1,1
109,1,0,1,1,0,0,0,1,1,1,0,2,0,0,1,0,1,1,1,1,1,0
110,1,0,1,1,0,2,2,0,1,0,0,2,2,0,1,0,1,1,1,1,0,1
111,1,0,1,1,0,0,0,1,1,1,0,1,1,0,1,0,1,1,1,1,0,0
112,1,0,1,1,0,2,2,0,1,1,1,1,0,0,1,0,1,1,1,1,1,0
113,1,0,1,1,1,0,2,0,1,1,1,2,2,0,1,0,1,1,1,1,1,1
114,1,2,1,1,0,0,2,0,0,1,1,1,2,2,1,0,0,1,0,1,0,0
115,1,0,1,1,0,1,2,0,0,1,1,1,1,0,0,0,0,1,0,1,1,1
116,0,2,1,0,0,2,0,0,1,0,1,0,2,2,1,1,0,1,0,1,1,0
117,1,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,0
118,1,0,1,1,1,2,2,0,1,1,0,1,0,0,0,0,1,1,1,1,1,1
119,1,0,1,1,0,2,2,0,0,1,1,2,0,0,0,0,0,1,0,1,1,1
120,1,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,1,1,1,1,1,1
121,1,0,1,1,1,1,2,0,1,1,1,2,1,0,1,0,1,1,1,1,1,1
122,1,2,1,1,1,1,0,0,1,1,1,1,1,2,1,0,1,1,1,1,1,1
123,1,0,1,1,0,0,2,0,1,1,0,1,0,0,0,0,1,1,1,1,1,1
124,1,0,1,1,0,0,0,1,0,1,0,0,2,0,1,0,0,1,0,1,0,0
125,1,2,1,1,0,1,2,0,0,1,1,1,0,2,0,0,0,1,0,0,0,1
126,1,0,1,1,0,1,2,0,1,1,1,1,2,0,1,0,1,1,1,1,1,1
127,1,2,1,1,0,2,2,0,0,1,1,1,1,2,1,0,0,1,0,1,0,1
128,1,0,1,1,1,1,0,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1
129,1,0,1,0,0,0,2,0,1,1,0,1,0,0,1,1,1,1,1,1,0,0
130,1,0,1,0,0,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0
131,1,0,1,1,0,0,2,1,1,0,0,2,2,0,1,0,1,1,1,1,1,1
132,1,0,1,0,0,2,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0
133,0,0,1,1,0,0,2,1,1,0,0,1,0,0,0,0,1,1,1,1,0,1
134,1,0,1,1,0,1,0,1,1,1,0,0,0,0,1,0,1,1,1,1,0,0
135,1,0,1,0,0,2,2,0,1,1,1,2,1,0,1,1,1,1,1,1,1,1
136,1,0,1,1,0,0,0,0,1,1,1,1,0,0,1,0,1,1,1,1,0,0
137,0,0,1,1,1,2,2,0,1,0,1,1,0,0,1,0,1,1,1,1,0,1
138,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0
139,1,0,1,0,0,0,2,0,1,0,0,1,0,0,1,1,1,1,1,1,0,0
140,1,0,1,1,0,0,2,0,1,1,1,1,1,0,1,0,1,1,1,1,0,0
141,1,2,0,1,0,1,1,0,1,1,1,0,1,2,1,0,1,1,1,1,0,0
142,1,0,1,1,0,2,0,0,0,1,1,1,1,0,1,0,0,1,0,1,0,0
143,1,0,1,1,0,2,0,1,1,1,0,1,0,0,1,0,1,1,1,1,0,0
144,1,2,1,1,0,0,0,1,1,1,0,0,1,2,1,0,1,1,1,1,0,0
145,1,0,1,1,0,0,2,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0
146,1,0,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1,1,0,0
147,1,0,1,1,0,1,2,1,1,1,0,1,2,0,0,0,1,1,1,1,0,1
148,1,0,1,1,0,0,2,0,1,1,1,1,1,0,0,0,1,1,1,1,0,1
149,1,2,1,1,0,2,2,0,1,1,1,1,0,2,0,0,1,1,1,1,0,1
150,0,2,1,0,0,0,2,0,1,0,1,2,0,2,1,1,1,1,1,1,0,1
151,1,0,1,1,0,2,2,0,1,1,1,1,0,0,1,0,1,1,1,1,0,1
152,1,0,1,1,0,0,2,0,0,0,1,2,0,0,1,0,0,1,0,1,0,1
153,1,0,1,1,0,0,2,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1
154,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,1,1,1,1,0,0
155,1,0,1,1,0,2,2,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1
156,0,0,1,0,0,0,0,0,0,0,1,0,2,0,1,1,0,1,0,1,0,0
157,1,0,1,1,0,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,0,0
158,1,0,1,1,0,1,2,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1
159,1,0,1,1,0,1,2,0,1,1,1,1,0,0,1,0,1,1,1,1,0,1
160,1,0,1,1,0,2,2,0,0,1,1,1,0,0,1,0,0,1,0,1,0,1
161,1,0,1,1,0,2,2,0,1,0,1,1,2,0,1,0,1,1,1,1,1,1
162,0,0,1,0,0,1,1,0,1,0,0,0,2,0,1,1,0,1,0,1,0,0
163,1,2,1,1,1,0,2,0,1,0,1,1,1,2,1,0,1,1,1,1,1,1
164,1,0,1,1,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,1,1,0
165,1,2,1,1,1,0,2,0,1,1,1,2,0,2,1,0,1,1,1,1,0,1
166,0,0,1,0,0,0,2,1,1,0,0,1,2,0,1,1,1,1,1,1,0,1
167,1,0,1,1,0,2,2,0,1,1,1,2,1,0,1,0,1,1,1,1,1,1
168,1,0,1,1,0,0,2,1,1,1,0,0,0,0,1,0,1,1,1,1,1,0
169,1,0,1,1,1,1,2,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1
170,0,0,1,0,0,1,1,0,0,0,1,0,2,0,1,0,0,1,0,1,0,0
171,1,0,1,1,0,2,2,0,1,1,1,2,0,0,1,0,1,1,1,1,1,1
172,1,0,1,1,0,0,2,1,1,1,0,1,0,0,1,0,1,1,1,1,0,1
173,0,0,1,0,1,0,2,0,1,0,0,1,1,0,1,0,1,1,1,1,0,1
174,1,0,1,1,0,1,2,1,1,0,0,1,0,0,1,0,1,1,1,1,1,0
175,1,0,1,1,1,0,2,0,0,0,1,2,2,0,1,0,0,1,0,1,0,1
176,1,0,1,1,0,0,0,1,1,1,0,1,2,0,1,0,1,1,1,1,1,0
177,1,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0
178,1,0,1,1,0,0,2,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1
179,1,0,1,1,0,1,2,0,1,1,0,2,0,0,1,0,1,1,1,1,1,1
180,1,0,1,1,0,0,2,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1
181,1,0,1,1,1,0,2,1,1,1,0,1,0,0,1,0,1,1,1,1,0,1
182,0,0,1,0,0,2,2,0,1,0,1,1,1,0,1,0,1,1,1,1,0,1
183,1,0,1,1,0,0,2,0,1,1,1,1,0,0,1,0,1,1,1,1,1,0
184,1,0,1,1,0,2,2,1,1,1,0,1,2,0,1,0,1,1,1,1,1,1
185,1,0,1,1,0,0,2,0,1,1,0,1,1,0,1,0,1,1,1,1,1,0
186,1,0,1,1,0,1,2,0,1,1,1,2,1,0,1,0,1,1,1,1,1,1
187,1,0,1,1,0,2,2,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0
188,0,0,1,0,0,1,0,1,0,0,0,0,2,0,1,0,0,1,0,0,0,0
189,1,0,1,1,0,1,2,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1
190,1,0,1,1,0,0,2,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1
191,1,0,1,1,0,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,0,0
192,1,0,1,1,1,2,2,0,0,1,1,1,1,0,0,0,0,1,0,1,0,1
193,1,0,1,1,0,1,1,0,1,1,1,0,2,0,1,0,1,1,1,1,1,0
194,1,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1,1,1,1,0,0
195,0,0,1,0,0,1,0,0,1,0,1,1,1,0,1,0,1,1,1,1,0,1
196,1,2,1,1,0,1,2,0,1,1,1,1,0,2,1,0,1,1,1,1,0,1
197,1,0,1,1,0,0,0,0,1,1,1,0,2,0,1,0,1,1,1,1,0,0
198,1,0,1,1,0,1,1,0,1,1,1,0,1,0,0,0,1,1,1,1,0,0
199,1,0,1,1,1,2,2,0,1,1,1,1,1,0,0,0,1,1,1,1,0,1
200,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0
201,1,2,1,1,0,1,0,0,0,1,1,1,1,2,0,0,0,1,0,1,0,1
202,1,0,1,1,1,1,2,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1
203,1,0,1,1,0,0,2,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1
204,1,0,1,1,0,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0
205,0,2,1,0,0,1,0,0,0,0,1,0,2,2,1,0,0,1,0,1,0,0
206,1,0,1,1,0,2,2,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1
207,1,0,1,1,0,2,2,0,1,1,1,1,2,0,1,0,1,1,1,1,0,1
208,1,2,1,1,0,2,2,0,1,0,1,1,1,2,1,0,1,1,1,1,1,1
209,1,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,1,1,1,1,0,0
210,1,0,1,1,0,1,2,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1
211,0,0,1,0,0,1,2,1,1,0,0,2,0,0,1,0,1,1,1,1,0,1
212,1,0,1,1,0,0,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1
213,1,0,1,1,0,1,2,1,1,1,0,2,1,0,1,0,1,1,1,1,0,1
214,1,2,1,1,0,0,2,0,0,1,1,2,1,2,1,0,0,1,0,1,1,1
215,1,0,0,1,0,1,1,0,1,1,0,0,2,0,1,0,1,1,1,1,1,0
216,1,0,1,1,0,2,2,0,1,1,1,2,0,0,1,0,1,1,1,1,1,1
217,1,0,1,1,0,1,2,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1
218,1,0,1,1,0,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0
219,1,0,1,1,0,2,2,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1
220,1,0,1,1,0,1,0,1,1,1,0,1,0,0,1,0,1,1,1,1,0,0
221,1,2,1,1,0,2,2,1,0,1,0,1,1,2,1,0,0,1,0,1,1,1
222,1,0,1,1,0,2,2,0,1,1,1,2,1,0,1,0,1,1,1,1,1,1
223,1,2,1,1,0,1,1,0,1,1,1,0,0,2,1,0,1,1,1,1,0,0
224,1,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0
225,1,0,1,1,0,0,2,0,1,1,0,1,1,0,1,0,1,1,1,1,0,0
226,1,0,1,1,0,0,2,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0
227,1,0,1,1,0,0,2,0,0,1,1,2,2,0,1,0,1,1,0,1,1,1
228,0,0,1,0,0,2,2,1,0,0,0,1,2,0,1,1,1,1,0,1,1,1
229,1,0,1,1,0,0,2,1,1,1,0,1,1,0,1,0,1,1,1,1,0,0
230,1,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,1,1,0,1,0,0
231,1,0,1,1,1,2,2,0,1,1,1,2,1,0,1,0,1,1,1,1,1,1
232,1,0,1,1,0,1,2,0,0,1,1,1,0,0,1,0,1,1,0,1,0,1
233,1,0,1,1,0,0,2,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1
234,0,2,1,0,0,1,2,1,0,0,0,2,2,2,1,1,1,1,0,1,0,1
235,1,0,1,1,0,0,2,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1
236,1,0,1,1,0,0,2,0,1,1,0,1,1,0,1,0,1,1,1,1,1,1
237,1,0,1,1,1,0,2,0,0,1,1,1,2,0,1,0,1,1,0,1,0,1
238,0,0,1,0,1,2,2,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1
239,1,0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,1,1,1,1,0,0
240,1,0,1,1,0,2,2,0,1,1,1,1,2,0,1,0,1,1,1,1,1,1
241,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0
242,1,0,1,1,0,2,2,0,1,1,1,1,1,0,1,0,1,1,1,1,0,0
243,1,0,1,1,0,2,2,1,1,1,1,2,0,0,1,0,1,1,1,1,0,1
244,1,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,1,0
245,1,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0
246,1,2,1,1,0,2,2,0,1,1,1,1,2,2,1,0,1,1,0,1,0,0
247,0,2,1,0,0,0,2,0,1,0,1,1,0,2,1,1,1,1,1,1,0,0
248,1,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,1,1,1,1,0
249,1,0,1,1,0,0,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,0
250,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,1,1,0
251,0,0,1,0,0,1,0,0,1,0,1,0,2,0,1,1,1,1,0,1,0,0
252,1,0,1,1,0,0,0,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1
253,1,0,1,1,1,0,2,1,1,1,0,2,1,0,1,0,1,1,1,1,1,1
254,1,0,1,1,0,0,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,0
255,1,0,1,1,0,2,2,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1
256,1,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,0,0
257,1,0,1,1,0,1,0,1,1,1,0,0,2,0,1,0,1,1,1,1,0,0
258,1,0,1,1,0,1,2,0,1,1,1,1,2,0,1,0,1,1,1,1,0,1
259,1,0,1,1,0,1,2,0,1,1,1,1,2,0,1,0,1,1,1,1,0,1
260,1,2,1,1,0,1,2,0,0,1,1,1,1,2,1,0,1,0,0,0,0,1
261,1,0,1,1,0,2,2,0,1,1,1,2,1,0,1,0,1,1,1,1,0,1
262,1,0,1,1,0,1,0,1,1,1,0,1,0,0,1,0,1,1,1,1,0,1
263,1,0,1,1,0,0,2,1,1,0,0,1,2,0,0,0,1,1,1,1,0,1
264,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0
265,1,0,1,1,1,1,2,0,0,0,1,2,0,0,0,0,1,0,0,0,0,1
266,1,0,1,1,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,0,0
267,1,0,1,1,1,1,2,0,1,1,1,2,1,0,1,0,1,1,1,1,0,1
268,1,0,0,1,1,2,2,0,1,1,1,2,2,0,1,0,1,1,1,1,1,1
269,0,2,1,0,1,1,2,0,1,0,1,1,0,2,1,1,1,1,1,1,0,1
270,1,0,1,1,0,1,0,0,1,1,1,0,0,0,1,0,1,1,1,1,1,0
271,0,2,1,0,1,2,2,0,1,0,1,1,2,2,1,1,1,1,1,1,0,1
272,1,0,1,1,0,1,2,1,0,1,0,2,1,0,1,0,1,1,0,0,0,1
273,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1,1
274,1,0,1,1,0,1,2,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1
275,1,0,1,1,0,2,2,0,1,1,1,2,0,0,1,0,1,1,1,1,0,1
276,1,0,1,1,0,2,2,0,0,1,0,1,2,0,0,0,1,1,0,1,0,1
277,1,0,1,1,0,1,0,0,1,1,1,1,2,0,1,0,1,1,1,1,1,1
278,1,0,1,1,0,0,0,1,1,1,0,2,0,0,1,0,1,1,1,1,0,0
279,1,0,1,1,0,2,2,0,1,1,1,2,2,0,1,0,1,1,1,1,0,1
280,1,0,1,1,0,2,2,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1
281,1,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,1,0
282,1,0,1,1,0,2,2,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1
283,0,2,1,0,1,2,2,0,1,0,0,1,2,2,1,1,1,1,1,1,1,1
284,1,0,1,1,0,0,0,1,1,1,0,1,0,0,1,0,1,1,1,1,1,0
285,1,0,1,1,0,0,2,0,1,1,1,1,2,0,1,0,1,1,1,1,1,0
286,1,0,0,1,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,0
287,1,0,0,1,0,0,2,0,1,1,1,2,2,0,1,0,1,1,1,1,1,1
288,1,0,1,1,0,2,2,0,1,1,1,1,2,0,1,0,1,1,1,1,1,1
289,1,0,1,1,0,1,0,0,0,1,1,0,2,0,1,0,1,1,0,1,0,0
290,1,0,0,1,0,0,2,0,1,1,1,2,2,0,1,0,1,1,1,1,1,1
291,0,2,1,0,1,1,0,0,1,0,1,2,2,2,1,1,1,1,1,1,1,1
292,1,0,1,1,0,2,2,0,0,1,1,2,1,0,0,0,1,1,0,0,1,1
293,1,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,1,1,1,0,0
294,1,0,1,1,1,0,2,1,0,1,0,2,1,0,0,0,1,1,0,0,1,1
295,1,0,1,1,0,0,2,0,1,1,1,1,1,0,0,0,1,1,0,0,1,1
296,1,2,1,1,0,0,2,0,1,1,1,1,2,2,1,0,1,1,1,1,1,1
